火车站名	经纬度
古城子	100.232480339212,26.8831616840013
古家沱	97.3911088501482,37.3211276774614
古交	112.170413059808,37.9241128999048
古浪	102.905400611304,37.478988738874
古浪北	102.905400611304,37.478988738874
古莲	97.3911088501482,37.3211276774614
古路	97.3911088501482,37.3211276774614
古田北	118.752578235573,26.5832617520729
古田会址	118.752578235573,26.5832617520729
古源	97.3911088501482,37.3211276774614
古丈西	109.957507400566,28.6230835278432
古镇	97.3911088501482,37.3211276774614
谷城	111.637351653235,32.3116979826862
谷城北	111.659575641721,32.2689830689472
谷山	97.3911088501482,37.3211276774614
固安	116.310305205956,39.4480444353816
固安东	97.3911088501482,37.3211276774614
固始	115.662720446865,32.1838286272432
固原	106.248577426072,36.021617258011
固镇	117.323547648308,33.3232742977441
瓜州	95.6790943143056,40.4715893270227
关村坝	97.3911088501482,37.3211276774614
关林	97.3911088501482,37.3211276774614
关岭	105.625475971676,25.9498770459692
关寨	97.3911088501482,37.3211276774614
观沙岭	112.958447781151,28.2385507216297
观音机场	97.3911088501482,37.3211276774614
官高	97.3911088501482,37.3211276774614
官桥北	118.102375005966,25.0215239275413
冠县	115.449395795036,36.4902432253937
冠豸山	97.3911088501482,37.3211276774614
冠豸山南	97.3911088501482,37.3211276774614
灌南	119.322538186098,34.0925913077703
灌水	97.3911088501482,37.3211276774614
灌云	119.246533545035,34.2886160602583
光明	113.942728224723,22.7544129759394
光明城	97.3911088501482,37.3211276774614
光山	114.909969624433,32.0201757537687
广安	106.639552682335,30.461746110679
广安南	106.598787039309,30.4570713973974
广德	119.427475810349,30.883667102643
广德南	119.427475810349,30.883667102643
广汉北	104.288421893105,30.9824152397429
广南卫	105.061582384592,24.0521985109211
广南县	105.061582384592,24.0521985109211
广宁	112.43235731534,23.5914048109519
广平	114.953880235049,36.4831121077124
广水	114.043340432839,31.6371214148413
广顺场	97.3911088501482,37.3211276774614
广通北	101.771710391059,25.1705095124492
广阳	116.717614261476,39.528611447334
广元	105.850423181665,32.4416163053154
广州	113.259045418262,23.154230298102
广州白云	113.252879898396,23.1973962521399
广州北	113.26020917305,23.1517159789355
广州东	113.26020917305,23.1517159789355
广州莲花山	113.26020917305,23.1517159789355
广州南	113.26020917305,23.1517159789355
广州长隆	113.26020917305,23.1517159789355
贵安	97.3911088501482,37.3211276774614
贵安2	97.3911088501482,37.3211276774614
贵定	107.196462830072,26.3521369105911
贵定北	107.238910460321,26.5990770057209
贵定县	107.240554359404,26.5906596550389
贵港	109.605520310333,23.1174483820375
贵溪	117.221223628128,28.2954821621657
贵阳	106.714900649731,26.5548487594258
贵阳北	106.68083142514,26.6258702210715
贵阳北2	106.678853536069,26.6820233063649
贵阳东	106.636576763528,26.6533248223098
桂林	110.28983669167,25.2670494055519
桂林北	110.308239647833,25.3352030573609
桂林西	111.052099850557,25.9596798851016
桂平	110.123375290893,23.3232927654112
郭尔奔敖包	116.398719668148,39.9856728708246
虢镇	107.38665648684,34.3548498783741
果松	126.2627783748,41.6050649239861
果珠	97.3911088501482,37.3211276774614
哈达铺	104.241375208123,34.226407956655
哈达阳	97.3911088501482,37.3211276774614
哈尔滨	126.653486195816,45.7638208707203
哈尔滨2	126.63897047708,45.764999768483
哈尔滨北	126.63897047708,45.764999768483
哈尔滨东	126.63897047708,45.764999768483
哈尔滨西	126.63897047708,45.764999768483
哈尔盖	100.423614160226,37.1895856693226
哈克	97.3911088501482,37.3211276774614
哈拉海	97.3911088501482,37.3211276774614
哈拉苏	97.3911088501482,37.3211276774614
哈力图	97.3911088501482,37.3211276774614
哈密	93.521215540285,42.8258243681126
哈日努拉	111.779807456263,44.4620983268225
哈业胡同	114.124563225992,22.5398520253767
海安	120.455695430977,32.5378406153674
海北	100.907434321456,36.9606628241298
海城	109.134659194376,21.4600971095101
海城西	109.134659194376,21.4600971095101
海东	102.415035575789,36.4801702126823
海东西	97.3911088501482,37.3211276774614
海口	110.349491633449,19.9896671293941
海口东	110.349491633449,19.9896671293941
海口东2	110.20673786253,20.0521130861804
海拉尔	119.750128365209,49.2359801104168
海林	129.394093607922,44.573454057685
海林北	129.391021492909,44.587168795784
海伦	126.97987750795,47.4704388763896
海门	121.16332221171,31.8908730868862
海宁	120.686565067383,30.5179237697756
海宁西	120.686565067383,30.5179237697756
海石湾	102.872049042974,36.3471159810426
海头	97.3911088501482,37.3211276774614
海晏	101.000585548602,36.9023760225146
海阳	120.966814378011,37.0753637325286
海阳北	120.966814378011,37.0753637325286
邯郸	114.481853837029,36.6074865508763
邯郸东	114.565734641143,36.6256522490361
含山南	118.10746203634,31.7408622087355
涵江	119.12256736822,25.4644643881245
韩城	110.448650471894,35.4882910635144
韩府湾	97.3911088501482,37.3211276774614
寒葱沟	97.3911088501482,37.3211276774614
汉川	113.828741085491,30.5685257904019
汉口	114.261813273546,30.6216233701286
汉寿	111.954061822985,28.77532570575
汉寿南	111.954061822985,28.77532570575
汉阴	108.515506985612,32.8991208572924
汉源	102.658575890244,29.3502173859875
汉中	107.0366632754,33.0962964840941
杭锦旗	108.742412938786,39.8388157688152
杭州	120.215511803722,30.2530829816935
杭州东	120.215511803722,30.2530829816935
杭州南	120.215511803722,30.2530829816935
杭州西	120.215511803722,30.2530829816935
浩良河	129.644717062646,46.7339378725396
合川	106.284300778243,29.9655615534641
合肥	117.319255454751,31.8882911579395
合肥北城	117.259917255475,32.0696320976046
合肥南	97.3911088501482,37.3211276774614
合肥南2	117.297641415705,31.803957477354
合浦	109.213438611303,21.6670057356418
合阳北	110.097711524413,35.2946986355895
和平北	121.168667807801,24.2772564047795
和硕	86.8849358853004,42.3098159689665
和田	79.9131269952145,37.1639986426065
河边	97.3911088501482,37.3211276774614
河池西	107.852526694654,24.7015789462861
河唇	97.3911088501482,37.3211276774614
河东机场	97.3911088501482,37.3211276774614
河东里	117.258412953068,39.1344873259551
河津	110.718572143735,35.6019265753223
河口北	103.982085779031,22.5350980723971
河口南	103.967025866822,22.5153150570381
河源	114.707446272906,23.7496843709598
河源北	114.707446272906,23.7496843709598
河源东	114.707446272906,23.7496843709598
荷塘	113.180452220067,27.8621558091406
菏泽	115.099299907277,35.2745768868161
菏泽东	115.099299907277,35.2745768868161
贺家店	116.398472005319,40.0651967821029
贺胜桥东	114.124563225992,22.5398520253767
贺州	111.573526314162,24.4094509028655
赫尔洪得	121.406552172611,31.2072121646571
鹤北	130.476953190506,47.5474305395212
鹤壁	114.280752338444,35.7657345164981
鹤壁东	114.303593642476,35.7523574114
鹤岗	130.304432898669,47.3560561576851
鹤立	130.298515850106,47.0589106717325
鹤庆	100.182492063023,26.5661973133446
黑冲滩	97.3911088501482,37.3211276774614
黑河	127.512633221161,50.2365816593073
黑井	97.3911088501482,37.3211276774614
黑山北	122.130845664623,41.6759084511346
黑山寺	122.130845664623,41.6759084511346
黑水	102.996517356131,32.0678054493675
黑台	97.3911088501482,37.3211276774614
黑旺	97.3911088501482,37.3211276774614
恒地营	97.3911088501482,37.3211276774614
横道河子	129.080604388339,44.819822042045
横道河子东	123.876429158729,42.0556147388558
横峰	117.602397383015,28.4134404623839
横沟桥东	114.124563225992,22.5398520253767
横江	97.3911088501482,37.3211276774614
横琴	97.3911088501482,37.3211276774614
衡山	112.875563287706,27.2359960296556
衡山西	112.796274351894,27.2536720474952
衡水	115.698200999254,37.7501359955426
衡水北	115.675406137616,37.7451914080774
衡阳	112.716189786892,26.9024873253057
衡阳东	112.636448464426,26.8947434059942
红安西	114.638229961901,31.0101278741548
红岛	97.3911088501482,37.3211276774614
红峰	97.3911088501482,37.3211276774614
红光镇	106.650795963928,32.0844403649312
红果	104.478855642837,25.7208304130542
红河	103.381549052579,23.3699962476055
红花园	97.3911088501482,37.3211276774614
红旗渠	97.3911088501482,37.3211276774614
红砂坝	113.212744251523,40.688696888957
红砂岘	104.165142936444,30.5949758248411
红山	118.963563536509,42.27047843525
红寺堡	106.072648603809,37.4246731579624
红寺堡北	106.072648603809,37.4246731579624
红岘台	97.3911088501482,37.3211276774614
红星	129.391947007397,48.2420629025163
红兴隆	97.3911088501482,37.3211276774614
红彦	97.3911088501482,37.3211276774614
宏克力	97.3911088501482,37.3211276774614
宏庆	97.3911088501482,37.3211276774614
洪洞	111.681589426718,36.2594670793769
洪洞西	111.681589426718,36.2594670793769
洪河	97.3911088501482,37.3211276774614
洪梅	97.3911088501482,37.3211276774614
侯马	111.3651224142,35.6193083309266
侯马西	111.37839658489,35.6253648162579
猴山	97.3911088501482,37.3211276774614
厚街	114.124563225992,22.5398520253767
鲘门	97.3911088501482,37.3211276774614
呼和浩特	111.670946123375,40.8353503693963
呼和浩特东	111.670946123375,40.8353503693963
呼兰	126.613263937793,45.9809289783204
呼鲁斯太	97.3911088501482,37.3211276774614
壶镇	97.3911088501482,37.3211276774614
葫芦岛	120.873984744238,40.7609735676626
葫芦岛北	120.873984744238,40.7609735676626
湖潮东	106.681414605077,26.4331447282649
湖口	116.258471345588,29.737131514562
湖州	120.094516609158,30.8989639372942
虎尔虎拉	97.3911088501482,37.3211276774614
虎林	132.987768473985,45.776977079553
虎门	97.3911088501482,37.3211276774614
虎门北	97.3911088501482,37.3211276774614
虎门东	97.3911088501482,37.3211276774614
虎山	97.3911088501482,37.3211276774614
虎什哈	117.007428639344,40.8959838084421
鄠邑	108.61142023271,34.115020711599
花城街	114.124563225992,22.5398520253767
花都	113.226575806292,23.4111615048757
花湖	97.3911088501482,37.3211276774614
花家庄	97.3911088501482,37.3211276774614
花楼坝	97.3911088501482,37.3211276774614
花山镇	113.280042231584,23.4426347753613
花土坡	97.3911088501482,37.3211276774614
花溪大学城	106.642381703562,26.3872267925217
花溪南	106.6764407773,26.4158794564299
花溪西	106.6764407773,26.4158794564299
花园	97.3911088501482,37.3211276774614
花园口	97.3911088501482,37.3211276774614
华容东	114.742945435199,30.5412948498543
华山	97.3911088501482,37.3211276774614
华山北	97.3911088501482,37.3211276774614
华州	109.764850346507,34.5155976275867
滑浚	97.3911088501482,37.3211276774614
化德	114.016408784497,41.9096025871092
化念	97.3911088501482,37.3211276774614
化州	110.650870796352,21.6617632496699
桦林	97.3911088501482,37.3211276774614
桦南	130.561301203316,46.2490521155536
桦南东	130.561301203316,46.2490521155536
怀安	114.392469115056,40.6803693431155
怀化	110.008514265373,27.5751609029785
怀化南	110.000019978304,27.5180759679375
怀集	112.166110162275,23.898230091922
怀来	115.524552884851,40.4202898903819
怀宁	116.836592580509,30.7393996746066
怀仁	113.168975213855,39.8001016242062
怀仁东	113.106608467383,39.8337568895217
怀柔	116.638385871429,40.3226184042658
怀柔北	116.699939022601,40.4141995677708
怀柔南	116.712138999562,40.2846455153986
淮安	119.100574170857,33.5965397575488
淮安东	97.3911088501482,37.3211276774614
淮北	116.809541008381,33.9727212060477
淮北北	116.80453726703,33.9616563002763
淮滨	115.426438968915,32.4794697566627
淮南	117.024605228831,32.6429097970795
淮南东	117.02691198755,32.639445017245
淮南南	117.02691198755,32.639445017245
淮阳南	97.3911088501482,37.3211276774614
环江	108.264443069169,24.8320879385506
环县	107.314469644194,36.5744271089069
桓龙湖	116.723524646933,23.3777757806284
桓台	118.104434207788,36.9656079801183
换新天	100.593433067732,38.538862641574
黄柏	97.3911088501482,37.3211276774614
黄冈东	114.878490484108,30.4593588576181
黄冈西	114.895070688567,30.5097271257208
黄河景区	97.3911088501482,37.3211276774614
黄花筒	97.3911088501482,37.3211276774614
黄口	97.3911088501482,37.3211276774614
黄陵南	109.269605984954,35.5850763489688
黄流	97.3911088501482,37.3211276774614
黄梅	115.946061455567,30.0787070222926
黄梅东	97.3911088501482,37.3211276774614
黄泥崴子	97.3911088501482,37.3211276774614
黄平	107.923547806216,26.9112886431008
黄山北	118.329301709922,29.7271095641709
黄山西	118.329301709922,29.7271095641709
黄石	114.947588772749,30.1601648545941
黄石北	115.045532908944,30.2052078489416
黄水	97.3911088501482,37.3211276774614
黄桶北	97.3911088501482,37.3211276774614
黄羊滩	97.3911088501482,37.3211276774614
黄羊湾	97.3911088501482,37.3211276774614
黄羊镇	102.856088848978,37.672725159379
黄州	114.886532384525,30.4402241451457
湟源	101.262448611544,36.6885875149026
潢川	115.062607271263,32.1424778668512
珲春	130.372613218583,42.8685151151916
徽县	106.094417870046,33.7751941870897
汇流河	97.3911088501482,37.3211276774614
汇塘河	106.057354311566,28.9627090139441
会昌北	115.791893440132,25.8327676929874
会同	109.741585567918,26.8933838172736
惠安	118.803415500299,25.0369498150391
惠安堡	118.803415500299,25.0369498150391
惠东	114.726425851376,22.9914431120024
惠东南	114.726425851376,22.9914431120024
惠环	97.3911088501482,37.3211276774614
惠来	116.30144448456,23.0396453745246
惠农	106.729580860545,39.2701512815022
惠山	120.208712798808,31.6763769179801
惠阳	114.463464430374,22.7947208785705
惠州	114.429916222979,23.148864997112
惠州北	114.423558016582,23.1163588547256
惠州南	114.423558016582,23.1163588547256
获嘉	113.656023256274,35.2629028452237
霍尔果斯	97.3911088501482,37.3211276774614
霍林郭勒	119.675912699568,45.5410244564974
霍邱	116.284391337757,32.3593435909225
霍州	111.761509422177,36.574606950709
霍州东	111.761509422177,36.574606950709
芨岭	97.3911088501482,37.3211276774614
鸡东	131.147449590955,45.2614295348815
鸡西	130.98459901895,45.3103621938601
鸡西西	130.98531478878,45.3104965122514
吉安	114.99294357406,27.1267036163858
吉安西	114.939590964076,27.1418179504633
吉林	126.555634504955,43.8435678345792
吉首	109.742747526095,28.3287964740583
吉首东	109.704448809673,28.2674931275927
吉舒	97.3911088501482,37.3211276774614
吉水西	115.14256983128,27.2352597450386
吉文	97.3911088501482,37.3211276774614
即墨北	120.40044748618,36.4102251261219
集安	126.199577372001,41.1312997240334
集宁南	113.106047655253,41.0364881814115
纪家沟	125.645672133527,44.2686115649843
济南	117.12639941261,36.6565542017872
济南2	117.12639941261,36.6565542017872
济南东	117.12639941261,36.6565542017872
济南西	117.12639941261,36.6565542017872
济南西2	117.1263814465,36.6565542017872
济宁	116.607206944806,35.3990064143183
济宁北	116.607994309585,35.4001819016457
济宁东	116.607994309585,35.4001819016457
济源	112.580181316493,35.1166461134563
绩溪北	118.585443840569,30.073292199533
蓟州	117.404876007145,40.0327770539055
蓟州北	117.404876007145,40.0327770539055
稷山	110.989414578723,35.6104035696157
加查	92.7748331572004,29.1533759924933
加格达奇	124.132794402577,50.4260004374372
加劳	97.3911088501482,37.3211276774614
佳木斯	130.390415019032,46.8096048093004
嘉善	120.93251060584,30.8371221938204
嘉善南	120.93251060584,30.8371221938204
嘉祥	116.342228378694,35.4315383202232
嘉祥北	116.354213301317,35.401266974154
嘉兴	120.76355182586,30.7509748309201
嘉兴南	120.806330841026,30.6967641721794
嘉峪关	98.2962038430011,39.7779601473906
嘉峪关南	98.2962038430011,39.7779601473906
郏县	113.219606227653,33.9774862891767
甲猫	97.3911088501482,37.3211276774614
甲山	97.3911088501482,37.3211276774614
尖峰	97.3911088501482,37.3211276774614
尖山	131.158306960501,46.6511545374626
犍为	103.955506535949,29.2142194637595
简阳南	104.553494062651,30.4174514913527
碱柜	97.3911088501482,37.3211276774614
建德	119.287398075005,29.4811540269684
建湖	119.805531277445,33.469832978385
建宁南	116.852506226591,26.8368246553492
建宁县北	116.852506226591,26.8368246553492
建瓯	118.311460733686,27.0289550894288
建瓯东	118.311460733686,27.0289550894288
建瓯西	118.311460733686,27.0289550894288
建平	119.722174185444,41.910409979411
建桥	114.124563225992,22.5398520253767
建三江	97.3911088501482,37.3211276774614
建始	109.728556108988,30.6079070263194
建水	102.833439591606,23.6409385634615
建阳	118.119079086749,27.3605179303859
剑门关	105.491995959453,32.2867970277808
江北机场	97.3911088501482,37.3211276774614
江都	119.576602969077,32.4402945062429
江海	113.117557180146,22.5661154518235
江华	111.585452038448,25.1913489240146
江津	106.265597608378,29.295884374465
江门	113.08855619524,22.584603880965
江门东	113.08855619524,22.584603880965
江宁	118.594991570512,31.8382734291483
江宁西	118.594991570512,31.8382734291483
江桥	114.124563225992,22.5398520253767
江山	118.633583297927,28.7428684801184
江所田	104.495283494676,24.9685966030789
江阴	120.291568007521,31.926044909769
江永	111.35043663236,25.2797206679185
江油	104.752411600881,31.7841281933881
江油北	104.752411600881,31.7841281933881
江源	126.588624505317,42.056009403852
将乐	117.485767953269,26.7018148784508
姜堰	120.133398325868,32.5152336747586
蒋村	97.3911088501482,37.3211276774614
绛帐	107.954745520164,34.2812478237796
交城	112.201962447624,37.5273675389788
胶州	120.039535371267,36.2703490880492
胶州北	120.039535371267,36.2703490880492
蛟河西	127.35148018677,43.7300038705073
焦作	113.241681905899,35.2276979752371
焦作西	113.248547834573,35.220963254039
蕉溪	108.562459425397,27.0815429899627
角美	97.3911088501482,37.3211276774614
揭阳	116.376542465847,23.5767617975153
揭阳机场	116.515619023162,23.5526270412969
介休	111.925316150566,37.0257498183598
介休东	111.925316150566,37.0257498183598
界首南	115.38060984722,33.2627752362315
界首市	115.38060984722,33.2627752362315
金宝屯	123.584591976514,43.3896620265931
金昌	102.194605686698,38.5258200920926
金城江	108.049165860554,24.7161197058449
金刚沱	97.3911088501482,37.3211276774614
金沟屯	97.3911088501482,37.3211276774614
金河	103.862584118645,36.0395917397591
金华	119.745078264388,29.1205964256444
金华南	119.745078264388,29.1205964256444
金华镇	105.294865330544,30.9951774438327
金口河	103.112983283164,29.2938044695045
金口河南	97.3911088501482,37.3211276774614
金林	129.435612650101,47.4187137122818
金普	97.3911088501482,37.3211276774614
金山	121.617383178191,25.2219257730588
金山北	121.095931781504,30.9005866465485
金山屯	97.3911088501482,37.3211276774614
金塔	98.9100389047596,39.9965057149823
金坛	119.604570902655,31.7288930300101
金阳	103.254548955215,27.7021445117493
金阳南	103.254548955215,27.7021445117493
金月湾	97.3911088501482,37.3211276774614
金寨	115.940441207144,31.7334617343813
金钟	97.3911088501482,37.3211276774614
金州	121.735371335044,39.0963778994487
锦和	97.3911088501482,37.3211276774614
锦界	97.3911088501482,37.3211276774614
锦州	121.147499997441,41.1302877413758
锦州北	121.132596300555,41.1009314994621
锦州南	121.132596300555,41.1009314994621
进贤	116.248537793432,28.3827589444737
进贤北	116.248537793432,28.3827589444737
进贤南	116.248537793432,28.3827589444737
劲松	97.3911088501482,37.3211276774614
晋城	112.847695170245,35.510680013787
晋城东	112.858578231329,35.4962845864726
晋江	118.558430520004,24.7878245751445
晋中	111.925316150566,37.0257498183598
晋州	115.043742406401,38.0369025450599
缙云	120.097478305664,28.665214747164
缙云西	120.062670134961,28.6833514647185
京山	113.126548064958,31.0243306011925
泾川	107.375427308643,35.3447785482965
泾县	118.426434692417,30.6946724885415
经棚	97.3911088501482,37.3211276774614
荆门	112.218370267256,31.0570622451341
荆州	112.215597108316,30.3753091647872
旌德	118.546467352627,30.2924810937223
精河南	101.622473380274,34.7403960710912
井店	97.3911088501482,37.3211276774614
井冈山	114.304076377011,26.733719336013
井陉	114.143050907158,38.04113464002
景德镇	97.3911088501482,37.3211276774614
景德镇北	117.200633926863,29.3621126767179
景泰	104.069444384363,37.1874062600972
景州	97.3911088501482,37.3211276774614
敬梓场	97.3911088501482,37.3211276774614
靖边	108.762343822797,37.625262024081
靖西	106.424452697083,23.1401256690191
靖远	104.682515077963,36.5770962888368
靖远北	104.682515077963,36.5770962888368
靖远西	104.659407516177,36.5664411128464
靖州	109.702451607033,26.5813213510662
静海	116.938460605002,38.9365241105176
镜铁山	97.3911088501482,37.3211276774614
九华山	97.3911088501482,37.3211276774614
九江	116.013442527984,29.7098876255114
九龙塘	97.3911088501482,37.3211276774614
九三	97.3911088501482,37.3211276774614
九台	125.845260795803,44.1555422374613
九台南	125.846155058938,44.1507598988459
酒泉	98.5232620589586,39.7412664736564
酒泉南	98.5420660187073,39.7077051224592
莒南	118.853996225321,35.1890189477377
莒南北	118.841540770272,35.1808116317879
莒县	118.875712222041,35.5968720519505
巨野	116.101599012245,35.402062380609
巨野北	116.101599012245,35.402062380609
句容	119.175433202904,31.9509234905214
句容西	119.175433202904,31.9509234905214
军粮城北	101.772404881756,36.6562936308366
喀喇其	97.3911088501482,37.3211276774614
喀什	75.9963905563975,39.4760967486448
喀左	97.3911088501482,37.3211276774614
开道	97.3911088501482,37.3211276774614
开封	114.361443619014,34.7795225465184
开封北	114.359662009696,34.7779842079847
开福寺	97.3911088501482,37.3211276774614
开化	118.421459321313,29.1431875211867
开江	107.875424874141,31.0893721490656
开鲁	121.311810765051,43.6083880629881
开平南	118.267416022227,39.6801212379409
开阳	106.971559559277,27.0636735739509
开原	124.038643011788,42.5524464403142
开原西	124.065706980531,42.5394055896802
开远南	103.273553237086,23.719907796912
凯北	97.3911088501482,37.3211276774614
凯里	107.983069439457,26.6097324697175
凯里南	107.987468890691,26.5730794256754
康城	97.3911088501482,37.3211276774614
康金井	97.3911088501482,37.3211276774614
柯柯	97.3911088501482,37.3211276774614
岢岚	111.579477781771,38.7101510389362
克东	126.246723849027,48.0412364194635
克拉玛依	84.9012132074916,45.5346218243297
克山	125.88416496045,48.0417928835673
克一河	122.50014012802,50.6577019923345
孔滩	97.3911088501482,37.3211276774614
口头	97.3911088501482,37.3211276774614
库车	83.0244756815975,41.7003092115915
库都尔	97.3911088501482,37.3211276774614
库尔勒	86.2029707285792,41.7535601491828
库伦	97.3911088501482,37.3211276774614
奎山	97.3911088501482,37.3211276774614
奎屯	84.9068061573848,44.4083462214854
葵潭	97.3911088501482,37.3211276774614
昆都仑召	109.805075479108,40.7086950041183
昆明	102.724962104699,25.0223882350654
昆明南	102.867943146911,24.8762525348735
昆山	120.963464956086,31.3720208747331
昆山南	120.957207809057,31.3592941388415
昆玉	79.2838199685049,37.2253019598772
拉白	97.3911088501482,37.3211276774614
拉古	97.3911088501482,37.3211276774614
拉哈	97.3911088501482,37.3211276774614
拉林	97.3911088501482,37.3211276774614
拉萨	91.076709030189,29.6293624754255
砬子河	97.3911088501482,37.3211276774614
喇嘛山	97.3911088501482,37.3211276774614
来宾	109.227458195901,23.7565467626073
来宾北	109.227458195901,23.7565467626073
来凤	109.428365031616,29.5263707686447
莱芜北	117.666590670017,36.2088414268169
莱芜东	117.700194752025,36.23567854972
莱西	120.52412394303,36.8148656738415
莱西南	120.52412394303,36.8148656738415
莱阳	120.718414309578,36.9846355683041
莱阳南	120.718414309578,36.9846355683041
涞源	114.719480168159,39.3769305182701
兰岗	97.3911088501482,37.3211276774614
兰考	114.825235519915,34.8622109159391
兰考南	114.825235519915,34.8622109159391
兰棱	97.3911088501482,37.3211276774614
兰陵北	118.018936453756,34.9014378133469
兰溪	119.466598705537,29.2140443450792
兰州	103.862584118645,36.0395917397591
兰州西	103.862584118645,36.0395917397591
兰州新区	103.862584118645,36.0395917397591
岚山西	97.3911088501482,37.3211276774614
岚县	111.678592230384,38.2850287888502
蓝村	97.3911088501482,37.3211276774614
滥坝	97.3911088501482,37.3211276774614
郎溪南	119.190739071166,31.1493746388285
狼尾山	97.3911088501482,37.3211276774614
阆中	106.011565266419,31.5640745536404
琅勃拉邦	97.3911088501482,37.3211276774614
廊坊	116.714133597117,39.520645610131
朗县	93.0813682344075,29.0519024190856
朗乡	97.3911088501482,37.3211276774614
老城镇	115.156850748079,33.1804348104151
老莱	97.3911088501482,37.3211276774614
老岭	97.3911088501482,37.3211276774614
老羊壕	97.3911088501482,37.3211276774614
老营	97.3911088501482,37.3211276774614
乐昌	113.354578682097,25.1355915611949
乐昌东	113.354578682097,25.1355915611949
乐东	109.180507988946,18.7558714938549
乐都	102.408566338829,36.4878200515219
乐平北	117.121066336682,28.9725125472494
乐平市	117.121066336682,28.9725125472494
乐清	120.86564827243,28.0907002503417
乐清东	120.992501856166,28.1181799952283
乐山	103.772537603635,29.5579407174581
乐山北	103.58210617796,29.7562572228747
乐善村	97.3911088501482,37.3211276774614
乐同	97.3911088501482,37.3211276774614
乐武	97.3911088501482,37.3211276774614
乐跃	97.3911088501482,37.3211276774614
雷州	110.10258050648,20.9198805927165
耒阳	112.828793640159,26.410184914778
耒阳西	112.795203212405,26.4205138477059
冷坝	97.3911088501482,37.3211276774614
冷水江东	111.47371540932,27.6646760009577
离堆公园	97.3911088501482,37.3211276774614
梨树镇	105.41630445578,27.2617721220326
黎城	113.398901180323,36.5210555098993
黎塘	97.3911088501482,37.3211276774614
礼乐	97.3911088501482,37.3211276774614
礼泉	108.431615491663,34.4873907685045
礼泉南	108.431615491663,34.4873907685045
李家	97.3911088501482,37.3211276774614
李家坪	97.3911088501482,37.3211276774614
李市镇	106.273620015563,29.0810276110462
李旺	97.3911088501482,37.3211276774614
李子沟	97.3911088501482,37.3211276774614
澧县	111.765533547362,29.6389460046091
醴陵	113.50348315084,27.6523251499513
醴陵东	113.50348315084,27.6523251499513
历城	117.071589751072,36.6856555347107
厉家寨	97.3911088501482,37.3211276774614
立志	97.3911088501482,37.3211276774614
丽江	100.25922046881,26.8163862901387
丽水	119.929573058441,28.4732781805634
利川	108.946975159349,30.2847736498484
利津南	118.267704737618,37.5135033725894
利辛西	115.960629455684,33.1774227953852
沥林北	97.3911088501482,37.3211276774614
荔波	107.893409386875,25.4170975662729
溧水	119.034403909026,31.6572836963143
溧阳	119.509023894714,31.3920398644127
连江	119.546478816205,26.2035832910291
连山关	97.3911088501482,37.3211276774614
连云港	118.775370777932,34.5215120353471
连云港东	118.775370777932,34.5215120353471
连珠山	97.3911088501482,37.3211276774614
莲花山	97.3911088501482,37.3211276774614
莲江口	108.845400059239,27.7059216950426
涟水	119.266448439208,33.7870787079003
涟源	111.682544580987,27.6900871849421
联合乡	103.007122560206,25.9382305235434
廉江	110.303318101437,21.6211335827942
良各庄	97.3911088501482,37.3211276774614
良乡	97.3911088501482,37.3211276774614
凉红	97.3911088501482,37.3211276774614
凉水井	97.3911088501482,37.3211276774614
梁底下	97.3911088501482,37.3211276774614
梁平	107.776097257631,30.6605532550235
梁平南	107.776097257631,30.6605532550235
梁山	116.05511107329,35.9080820870165
两当	106.311419465989,33.915122835173
两家	97.3911088501482,37.3211276774614
辽宁朝阳	120.448225841001,41.5846771149236
辽阳	123.174587645142,41.2873067137359
辽源	125.150425166887,42.8940550057463
辽中	122.772378359832,41.5231490818425
聊城	115.991587848304,36.4627581876941
聊城西	97.3911088501482,37.3211276774614
寮步	97.3911088501482,37.3211276774614
林东	97.3911088501482,37.3211276774614
林海	97.3911088501482,37.3211276774614
林口	130.270394126624,45.2940207540133
林口南	130.270394126624,45.2940207540133
林盛堡	123.360145493996,41.6061769676261
林西	118.06817293808,43.6008709840379
林芝	94.4905845535671,29.5806817350805
林子头	97.3911088501482,37.3211276774614
临沧	100.095440420149,23.8904685562785
临城	114.542963225279,37.4497809829618
临汾	111.543143659487,36.0931236080833
临汾西	111.543143659487,36.0931236080833
临高南	109.697443014833,19.919474770278
临海	121.253213291357,28.8858576400807
临海南	121.151585294131,28.8640493290829
临河	107.369533795684,40.7566807258402
临江	126.924581513502,41.8176786439917
临江场	126.924581513502,41.8176786439917
临江溪	126.924581513502,41.8176786439917
临澧	111.615310006809,29.4397204809762
临平南	120.315564442609,30.4465539236421
临清	115.737394697468,36.8473531726422
临泉	115.267615500512,33.0459595283628
临潼	109.220435795577,34.3727474328484
临湘	113.45656151,29.4828013733954
临沂	118.363533005014,35.1106712423651
临沂北	118.261106234494,35.2773193610515
临沂北2	118.261106234494,35.2773193610515
临沂东	118.449959966265,35.1235509047562
临邑	116.877272794681,37.2192549846656
临颍	113.927043196432,33.8122107772633
临泽	100.170554760774,39.1585144447261
临泽南	100.170554760774,39.1585144447261
临淄北	118.315394609345,36.8322936351522
蔺家楼	97.3911088501482,37.3211276774614
灵宝	110.900408312862,34.5231426241638
灵宝西	110.900408312862,34.5231426241638
灵璧	117.564556997988,33.5478922319484
灵丘	114.241368199461,39.4488251280523
灵石	111.777769919705,36.8664755747039
