火车站名	经纬度
北滘	97.3911088501482,37.3211276774614
北滘西	97.3911088501482,37.3211276774614
北京	116.413383697123,39.9109245472996
北京北	116.868705026219,40.4030710379389
北京朝阳	116.514532717886,39.9506256696009
北京大兴	116.334304964774,39.7264440853253
北京东	116.490671926929,39.9081726435512
北京丰台	116.30808369643,39.8572997910608
北京南	116.385487897477,39.8712802361289
北京西	97.3911088501482,37.3211276774614
北井子	123.909018784326,39.9036229511666
北流	110.352363875485,22.7109079243405
北马圈子	117.610130372103,40.5269950657798
北牟	97.3911088501482,37.3211276774614
北票	120.777627734218,41.8064825689496
北舍	97.3911088501482,37.3211276774614
北滩	97.3911088501482,37.3211276774614
北屯	87.7672534337027,47.3297792192094
北屯市	87.8434663019836,47.3388645491066
北宅	97.3911088501482,37.3211276774614
背荫河	97.3911088501482,37.3211276774614
贲红	97.3911088501482,37.3211276774614
栟茶	97.3911088501482,37.3211276774614
本溪	123.774240079848,41.3333449918504
本溪新城	123.68461506115,41.4885676454326
笔架山	97.3911088501482,37.3211276774614
毕节	105.298588795011,27.2902150834259
碧州	97.3911088501482,37.3211276774614
璧山	106.233474562674,29.5983466073163
边沟	97.3911088501482,37.3211276774614
宾西北	97.3911088501482,37.3211276774614
宾阳	108.816502379468,23.2237005437668
宾州	97.3911088501482,37.3211276774614
彬州	108.084565578227,35.0496105718284
彬州东	108.084565578227,35.0496105718284
滨海	119.827621059088,33.9956465474665
滨海北	119.827621059088,33.9956465474665
滨海港	120.226753827687,34.1398769601038
滨海西	119.827621059088,33.9956465474665
滨州	117.977404017147,37.3881961960769
播明	97.3911088501482,37.3211276774614
勃利	130.586229001557,45.755875263185
亳州	115.784463211274,33.8506426957888
亳州南	115.784463211274,33.8506426957888
博鳌	97.3911088501482,37.3211276774614
博白	109.995540847371,22.2744640762234
博克图	121.926436595424,48.7601349432376
博乐	82.1186445273791,44.9074304596676
博罗	114.296572651428,23.1788055924326
博罗北	114.296572651428,23.1788055924326
博兴	118.117492695325,37.1604772776515
步行街	114.124563225992,22.5398520253767
蔡家沟	126.144358881925,45.1259081835377
蔡家坡	107.604330733949,34.3265859169378
蔡家崖	111.046968024612,38.4788431097399
苍南	120.433595122288,27.5230667884465
苍坪	97.3911088501482,37.3211276774614
苍溪	105.942218596305,31.7412396175412
沧州西	116.84558075595,38.310215141107
曹妃甸东	118.466459862211,39.2792839963348
曹妃甸港	118.505864931712,39.0350163619459
曹县	115.548457243624,34.8318093484147
曹子里	97.3911088501482,37.3211276774614
草海	104.261227568703,26.8853416152743
草河口	123.917706746066,40.8844895979709
册亨	105.818143998409,24.9896314353666
策勒	80.7993521825248,37.0056515279848
岑溪	110.954476858614,22.9088202850784
曾家坪子	106.307809523262,29.5580438439456
茶卡	97.3911088501482,37.3211276774614
茶陵南	113.545471657143,26.7835891103598
查布嘎	97.3911088501482,37.3211276774614
查干得日斯	122.306357403638,43.8202385732652
查干湖	97.3911088501482,37.3211276774614
查干特格	97.3911088501482,37.3211276774614
察尔汗	97.3911088501482,37.3211276774614
察素齐	111.134666537312,40.7293038405826
岔河	97.3911088501482,37.3211276774614
岔江	97.3911088501482,37.3211276774614
柴沟堡	97.3911088501482,37.3211276774614
柴河	97.3911088501482,37.3211276774614
昌乐	118.84560317728,36.7164553744984
昌黎	119.198865951284,39.7272766995555
昌平	116.23761791731,40.2264133715943
昌平北	116.23761791731,40.2264133715943
昌图	124.124464425295,42.7931874602497
昌图西	124.124464425295,42.7931874602497
昌邑	126.581448661242,43.8879924747363
常村	97.3911088501482,37.3211276774614
常德	111.698321790145,29.0745706210001
常平	114.04716225887,22.9682332043481
常平东	114.04716225887,22.9682332043481
常平南	97.3911088501482,37.3211276774614
常山	118.493830945378,28.9154407294683
常熟	120.759495886652,31.6595382767411
常州	119.979708493794,31.7914081793179
常州北	119.981484713279,31.8157956533278
常庄	97.3911088501482,37.3211276774614
超梁沟	118.331869532398,41.098210088708
巢湖	117.897491387793,31.6202768974609
巢湖东	117.895576200446,31.6290024288163
朝天	105.885264499853,32.6437527128883
朝天南	105.885264499853,32.6437527128883
朝阳村	97.3911088501482,37.3211276774614
朝阳湖	103.452223519307,30.1735629176619
朝阳镇	106.427662957858,30.4897793598185
潮南	116.439491314269,23.2563414326733
潮汕	97.3911088501482,37.3211276774614
潮阳	116.428304176773,23.3865831977981
车转湾	97.3911088501482,37.3211276774614
郴州	113.03939103639,25.8146261944567
郴州西	113.03939103639,25.8146261944567
辰溪	110.261886275058,27.8845661243493
陈村	97.3911088501482,37.3211276774614
陈官营	97.3911088501482,37.3211276774614
陈江南	97.3911088501482,37.3211276774614
陈相屯	123.513544005594,41.5800638951052
陈庄	97.3911088501482,37.3211276774614
晨明	97.3911088501482,37.3211276774614
成都东	104.14751692471,30.6351133256229
成都东2	104.150416744727,30.633932072892
成都南	104.074237562903,30.6125716161652
成都西	103.985506987002,30.6909908340183
成高子	126.842426075087,45.706229157694
成吉思汗	122.846123034173,47.7549248527806
承德	117.971454000771,40.8910529490952
承德东	117.520733433175,40.4428568649364
承德南	117.971454000771,40.8910529490952
承德县北	118.180455736994,40.7743671949356
城固	107.335227328597,33.1492238745104
城固北	107.340612580298,33.1623993851784
城西	101.772414224133,36.6344969795241
城阳	120.388091743043,36.3081423208463
城子坦	97.3911088501482,37.3211276774614
池州	117.528956791305,30.6249771969786
茌平	116.261455442154,36.5867850688424
茌平南	116.261455442154,36.5867850688424
赤壁	113.936584174359,29.7274002276746
赤壁北	113.906637812735,29.7423415537547
赤峰	118.966310015775,42.2627629166658
赤峰南	118.966310015775,42.2627629166658
崇礼	115.289549336318,40.98047788587
崇信	107.041415131887,35.308615839828
崇州	103.679433369234,30.6365958913793
崇左	107.371520206101,22.3831172346633
崇左南	107.371520206101,22.3831172346633
滁州	118.333758848547,32.3140729381558
滁州北	118.334202072485,32.3144451468974
楚鲁图	97.3911088501482,37.3211276774614
楚山	97.3911088501482,37.3211276774614
楚雄	101.550959986635,25.05659804814
褚家湾	97.3911088501482,37.3211276774614
茨坝	97.3911088501482,37.3211276774614
茨冲	97.3911088501482,37.3211276774614
慈利	111.126677892615,29.4248079868431
磁山	97.3911088501482,37.3211276774614
磁窑	117.111114564697,35.910942629052
从江	108.911561427825,25.7598813278916
崔黄口	97.3911088501482,37.3211276774614
翠峰	97.3911088501482,37.3211276774614
翠岗	97.3911088501482,37.3211276774614
翠亨	97.3911088501482,37.3211276774614
翠屏	104.607862015727,28.7571564950158
嵯岗	97.3911088501482,37.3211276774614
达布逊	97.3911088501482,37.3211276774614
达拉滨	97.3911088501482,37.3211276774614
达拉特西	97.3911088501482,37.3211276774614
达连河	97.3911088501482,37.3211276774614
达州	107.459491995894,31.2037902416019
打柴沟	97.3911088501482,37.3211276774614
打羊	97.3911088501482,37.3211276774614
大安	124.24506058284,45.5228006140313
大安北	124.24506058284,45.5228006140313
大坝	97.3911088501482,37.3211276774614
大板	118.653888522121,43.5272598191247
大堡	97.3911088501482,37.3211276774614
大柴旦	97.3911088501482,37.3211276774614
大厂	116.992347167798,39.9002220888166
大磴沟	97.3911088501482,37.3211276774614
大方	105.618451312421,27.1470607506262
大方南	105.618451312421,27.1470607506262
大丰	120.348386998824,33.1915251290854
大港南	97.3911088501482,37.3211276774614
大孤山	97.3911088501482,37.3211276774614
大关	103.897514896652,27.754021401911
大河坝	97.3911088501482,37.3211276774614
大虎山	97.3911088501482,37.3211276774614
大灰厂	97.3911088501482,37.3211276774614
大涧	97.3911088501482,37.3211276774614
大口屯	97.3911088501482,37.3211276774614
大朗镇	113.950524618241,22.9461688509609
大理	100.257112684762,25.5963076037306
大荔	109.93232099358,34.8406200193934
大连	121.621631484593,38.9189536667856
大连北	121.621631484593,38.9189536667856
大林	97.3911088501482,37.3211276774614
大陆号	97.3911088501482,37.3211276774614
大明湖	117.036083147823,36.6870915852926
大盘石	97.3911088501482,37.3211276774614
大青沟	97.3911088501482,37.3211276774614
大庆	125.019292405276,46.6048184462276
大庆东	125.130996515782,46.5398606656795
大庆西	124.891819439849,46.6619810676448
大山铺	97.3911088501482,37.3211276774614
大石桥	114.124563225992,22.5398520253767
大石头南	128.497063332446,43.3143510542633
大石寨	103.862584118645,36.0395917397591
大田北	117.853439996684,25.6989326418788
大通西	117.02691198755,32.639445017245
大同	113.29582673153,40.1179551160512
大同东	113.307704037152,40.121665612064
大同南	113.307704037152,40.121665612064
大旺	97.3911088501482,37.3211276774614
大乌苏	84.7200881469639,44.4240480344516
大武口	106.374610497597,39.0248477566265
大兴	116.334304964774,39.7264440853253
大兴机场	97.3911088501482,37.3211276774614
大雅河	97.3911088501482,37.3211276774614
大雁	97.3911088501482,37.3211276774614
大扬气	97.3911088501482,37.3211276774614
大杨树	124.616571265484,49.7544116073544
大冶北	114.98643626402,30.1016678001034
大邑	103.527529817667,30.593155402402
大英东	105.243403923133,30.6008101299207
大营	113.739126936291,39.2925567153379
大营镇	114.667767774188,37.6078916191394
大余	114.368406639645,25.4076372983669
大战场	97.3911088501482,37.3211276774614
大杖子	97.3911088501482,37.3211276774614
大竹园	97.3911088501482,37.3211276774614
大足	105.752416691046,29.4275362152841
大足南	105.72840462545,29.7131135060768
代湾	97.3911088501482,37.3211276774614
代县	112.966551948542,39.0727283463807
岱岳	117.048556479152,36.1932912422909
带岭	97.3911088501482,37.3211276774614
丹东	124.064946205595,40.4583717353727
丹凤	110.344423317471,33.6983304873683
丹江口	111.519532058479,32.5462526885012
丹徒	119.524133662884,32.1239910327067
丹霞山	97.3911088501482,37.3211276774614
丹阳	119.612500604714,32.0159202741699
丹阳北	119.612500604714,32.0159202741699
当涂东	118.532634256248,31.5677206097038
当阳	111.818890932391,30.8536740608072
党武	97.3911088501482,37.3211276774614
砀山	116.40723353828,34.4204407120671
砀山南	116.37252400151,34.4484281713967
到保	97.3911088501482,37.3211276774614
道滘	97.3911088501482,37.3211276774614
道清	97.3911088501482,37.3211276774614
道州	97.3911088501482,37.3211276774614
得耳布尔	121.084791615653,50.9994211674086
得莫利	97.3911088501482,37.3211276774614
德安	115.761230051051,29.3375063863412
德保	106.621582607282,23.3289943512859
德昌	102.182595510849,27.4085041929936
德昌西	102.182595510849,27.4085041929936
德化	118.247550069555,25.4973085941792
德惠	125.68316695636,44.5514356104181
德惠西	125.734515177277,44.5271610666082
德令哈	97.3911088501482,37.3211276774614
德清	119.964778386727,30.5410249485594
德清西	119.964778386727,30.5410249485594
德日斯图	97.3911088501482,37.3211276774614
德兴	117.963853960779,29.1231620123768
德兴东	117.991683555299,29.1001457792643
德阳	104.404419364964,31.1331150036568
德州	116.297222913322,37.4548002679901
德州东	116.297222913322,37.4548002679901
灯塔	123.323836164944,41.4345380730007
登沙河	114.503947571217,36.8673102005864
邓家湾	97.3911088501482,37.3211276774614
邓州	112.093420103023,32.6939174399701
邓州东	112.093420103023,32.6939174399701
低窝铺	97.3911088501482,37.3211276774614
低庄	97.3911088501482,37.3211276774614
滴道	130.850580460593,45.3544336172163
电白	111.020471232205,21.5203511881984
甸心	97.3911088501482,37.3211276774614
垫江	107.339565874718,30.3332939685001
鼎湖东	112.574434482548,23.1643081127157
鼎湖山	97.3911088501482,37.3211276774614
定边	107.603069423182,37.5854058059993
定南	115.034563775104,24.7897838318459
定南南	115.034563775104,24.7897838318459
定陶	115.579437375238,35.0772751797571
定西	104.63725521247,35.586341995769
定西北	97.3911088501482,37.3211276774614
定襄	112.963528611518,38.4799743058469
定远	117.848647462977,32.5813387824529
定州	114.996496207765,38.522198840134
定州东	114.996496207765,38.522198840134
东安东	129.633477653443,44.5874603775709
东边井	97.3911088501482,37.3211276774614
东岔	97.3911088501482,37.3211276774614
东城南	116.422400977663,39.934827272396
东戴河	97.3911088501482,37.3211276774614
东二道河	117.445467558563,40.6539104006137
东方	108.697838647064,19.0948133570233
东方红	133.090679431176,46.2066908180021
东丰	125.552191228259,42.6605075497419
东风南	130.410560777722,46.8283851519911
东港北	119.539705609238,35.4093791012396
